Date,Inflacion
1992-01-01,16.5300
1992-02-01,14.0900
1992-03-01,12.8300
1992-04-01,10.3700
1992-05-01,9.5200
1992-06-01,7.6900
1992-07-01,6.4100
1992-08-01,5.4900
1992-09-01,5.9500
1992-10-01,5.4800
1992-11-01,5.7600
1992-12-01,6.5200
1993-01-01,6.9500
1993-02-01,6.7600
1993-03-01,7.2700
1993-04-01,8.3000
1993-05-01,8.7900
1993-06-01,10.3300
1993-07-01,13.2200
1993-08-01,14.0600
1993-09-01,13.3400
1993-10-01,13.5200
1993-11-01,13.3700
1993-12-01,13.0200
1994-01-01,13.9800
1994-02-01,16.3100
1994-03-01,16.6700
1994-04-01,17.5700
1994-05-01,21.1600
1994-06-01,21.8300
1994-07-01,21.4800
1994-08-01,22.7100
1994-09-01,24.2200
1994-10-01,25.4900
1994-11-01,28.1600
1994-12-01,28.9100
1995-01-01,30.7800
1995-02-01,33.2300
1995-03-01,33.7600
1995-04-01,33.4800
1995-05-01,30.7700
1995-06-01,29.3300
1995-07-01,27.6100
1995-08-01,26.6000
1995-09-01,28.3700
1995-10-01,28.5400
1995-11-01,26.3900
1995-12-01,26.7900
1996-01-01,23.8800
1996-02-01,21.3900
1996-03-01,21.5500
1996-04-01,20.9700
1996-05-01,21.2800
1996-06-01,23.2100
1996-07-01,24.3600
1996-08-01,26.1500
1996-09-01,25.7100
1996-10-01,25.2300
1996-11-01,25.9700
1996-12-01,25.3200
1997-01-01,27.2900
1997-02-01,26.8400
1997-03-01,25.8600
1997-04-01,24.0300
1997-05-01,23.0400
1997-06-01,21.5400
1997-07-01,20.4800
1997-08-01,18.6700
1997-09-01,17.0600
1997-10-01,15.0500
1997-11-01,13.6700
1997-12-01,12.7700
1998-01-01,11.3900
1998-02-01,11.4000
1998-03-01,12.4200
1998-04-01,13.7100
1998-05-01,13.6300
1998-06-01,14.1600
1998-07-01,14.8100
1998-08-01,13.5800
1998-09-01,13.5500
1998-10-01,14.4900
1998-11-01,15.0600
1998-12-01,15.6500
1999-01-01,16.6600
1999-02-01,14.8200
1999-03-01,13.2500
1999-04-01,11.7000
1999-05-01,11.2500
1999-06-01,10.6400
1999-07-01,9.3300
1999-08-01,10.0600
1999-09-01,10.5300
1999-10-01,10.9200
1999-11-01,10.5900
1999-12-01,10.9400
2000-01-01,9.6100
2000-02-01,10.3200
2000-03-01,11.0300
2000-04-01,12.0200
2000-05-01,12.2000
2000-06-01,12.0200
2000-07-01,11.8900
2000-08-01,11.4800
2000-09-01,10.9100
2000-10-01,10.5200
2000-11-01,10.6400
2000-12-01,10.1000
2001-01-01,10.5500
2001-02-01,10.2900
2001-03-01,10.1900
2001-04-01,9.4900
2001-05-01,9.7800
2001-06-01,9.4100
2001-07-01,9.2500
